CartID,Index,RawPos,MovingAverage,OrigFilter
14,193,0.7148,0.71478815,0.71478
14,194,0.7148,0.71478775,0.714781
14,195,0.714813,0.714787525,0.714784
14,196,0.714801,0.71478735,0.714785
14,197,0.714801,0.71478715,0.714785
14,198,0.714796,0.71478665,0.714786
14,199,0.714799,0.71478625,0.714786
14,200,0.714799,0.7147859,0.714787
14,201,0.71479,0.714785675,0.714786
14,202,0.714785,0.71478545,0.714785
14,203,0.714785,0.7147851,0.714785
14,204,0.714775,0.714784975,0.714783
14,205,0.714768,0.714784825,0.714781
14,206,0.714768,0.71478445,0.714778
14,207,0.71477,0.714783925,0.714777
14,208,0.714778,0.714783425,0.714776
14,209,0.71478,0.71478275,0.714776
14,210,0.71478,0.714782375,0.714775
14,211,0.714786,0.714781825,0.714776
14,212,0.714786,0.714781375,0.714776
14,213,0.714773,0.714780775,0.714775
14,214,0.714779,0.714780025,0.714774
14,215,0.714779,0.714778975,0.714774
14,216,0.714778,0.714777625,0.714774
14,217,0.714781,0.714776575,0.714774
14,218,0.714781,0.714775525,0.714774
14,219,0.714783,0.71477465,0.714774
14,220,0.714781,0.7147737,0.714774
14,221,0.714781,0.714772775,0.714774
14,222,0.714776,0.7147723,0.714773
14,223,0.714776,0.71477195,0.714773
14,224,0.714776,0.714771825,0.714772
14,225,0.714767,0.71477195,0.714771
14,226,0.714767,0.71477225,0.71477
14,227,0.714767,0.714772175,0.714769
14,228,0.71476,0.7147719,0.714767
14,229,0.714764,0.714771425,0.714766
14,230,0.714764,0.71477115,0.714765
14,231,0.714768,0.7147711,0.714764
14,232,0.71477,0.7147709,0.714764
14,233,0.71477,0.714770475,0.714764
14,234,0.714758,0.71477025,0.714763
14,235,0.714759,0.714769875,0.714762
14,236,0.714759,0.714769525,0.71476
14,237,0.714759,0.7147692,0.71476
14,238,0.714761,0.7147688,0.714759
14,239,0.714761,0.7147685,0.714758
14,240,0.714762,0.714768125,0.714758
14,241,0.714771,0.7147678,0.714758
14,242,0.714771,0.7147673,0.714759
14,243,0.71478,0.7147669,0.71476
14,244,0.71478,0.7147665,0.714761
14,245,0.71478,0.714766325,0.714762
14,246,0.714765,0.714766225,0.714762
14,247,0.714759,0.714766125,0.714761
14,248,0.714759,0.714766225,0.71476
14,249,0.714769,0.7147665,0.71476
14,250,0.714778,0.714766675,0.714761
14,251,0.714778,0.71476695,0.714762
14,252,0.714769,0.71476695,0.714762
14,253,0.714764,0.7147669,0.714761
14,254,0.714764,0.71476675,0.714761
14,255,0.714765,0.714767075,0.714761
14,256,0.714765,0.714767375,0.71476
14,257,0.714765,0.714768075,0.71476
14,258,0.714769,0.7147688,0.71476
14,259,0.714768,0.714769475,0.71476
14,260,0.714768,0.714770275,0.71476
14,261,0.714761,0.71477115,0.714759
14,262,0.71476,0.7147718,0.714759
14,263,0.71476,0.714772125,0.714758
14,264,0.714769,0.71477195,0.714758
14,265,0.714763,0.714771775,0.714758
